data,giuste,sbagliate,ng
1707903590.226366,2,2,1
1707906384.554055,1,4,0
1707906427.968446,0,0,5
1707906434.234974,0,0,5
1707906449.200977,0,0,8
1707906867.374209,0,0,5
1707907865.688779,5,2,0
1707903590.226366,2,2,1
1707906384.554055,1,4,0
1707906427.968446,0,0,5
1707906434.234974,0,0,5
1707906449.200977,0,0,8
1707906867.374209,0,0,5
1707907865.688779,5,2,0
1707903590.226366,2,2,1
1707906384.554055,1,4,0
1707906427.968446,0,0,5
1707906434.234974,0,0,5
1707906449.200977,0,0,8
1707906867.374209,0,0,5
1707907865.688779,5,2,0
1707903590.226366,2,2,1
1707906384.554055,1,4,0
1707906427.968446,0,0,5
1707906434.234974,0,0,5
1707906449.200977,0,0,8
1707906867.374209,0,0,5
1707907865.688779,5,2,0
